source,dest,dist
12,מתנס נווה נוי,4.550205260941026
13,"מתנ""ס לוין",2.1233247721235067
13,"מתנ""ס נירים",1.9345309307483374
13,"מתנ""ס נעורים",2.6216032762056045
13,"מתנ""ס פאני קפלן",2.723032495161418
13,"מתנ""ס טאובל",3.690286677785805
13,"מתנ""ס - י'א",1.1324310233915926
13,מרכז הצעירים,3.8674650913860087
13,"מתנ""ס רמות",3.0462042387157666
13,"מתנ""ס נווה זאב",3.271669737876754
13,מתנס נווה נוי,4.733100631469882
14,"מתנ""ס לוין",2.1161575872929905
14,"מתנ""ס נירים",1.8921077665447055
14,"מתנ""ס נעורים",2.6075345146554687
14,"מתנ""ס פאני קפלן",2.679085770412907
14,"מתנ""ס טאובל",3.6969693616004697
14,"מתנ""ס - י'א",1.3090970393347576
14,מרכז הצעירים,3.9917385789893585
14,"מתנ""ס רמות",2.9275072142629712
14,"מתנ""ס נווה זאב",3.4355979560514522
14,מתנס נווה נוי,4.876407938580179
15,"מתנ""ס לוין",1.977561701508048
15,"מתנ""ס נירים",1.7824720157829068
15,"מתנ""ס נעורים",2.474371438818247
15,"מתנ""ס פאני קפלן",2.5710178449980297
15,"מתנ""ס טאובל",3.549387205260206
15,"מתנ""ס - י'א",1.1935440743108587
15,מרכז הצעירים,3.805854103497691
15,"מתנ""ס רמות",2.9052607033364723
15,"מתנ""ס נווה זאב",3.272304437788648
15,מתנס נווה נוי,4.695813345093533
16,"מתנ""ס לוין",1.9983122113431426
16,"מתנ""ס נירים",1.812626215373456
16,"מתנ""ס נעורים",2.4967018415428224
16,"מתנ""ס פאני קפלן",2.6009520644098547
16,"מתנ""ס טאובל",3.565726614548152
16,"מתנ""ס - י'א",1.145258412213796
16,מרכז הצעירים,3.784637237958059
16,"מתנ""ס רמות",2.9506637245564216
16,"מתנ""ס נווה זאב",3.2342803679489194
16,מתנס נווה נוי,4.667334055374167
17,"מתנ""ס לוין",2.005475330674568
17,"מתנ""ס נירים",1.785515592892239
17,"מתנ""ס נעורים",2.497395566612699
17,"מתנ""ס פאני קפלן",2.5731394900273563
17,"מתנ""ס טאובל",3.585956695951474
17,"מתנ""ס - י'א",1.3029880542899719
17,מרכז הצעירים,3.90879858965721
17,"מתנ""ס רמות",2.8506410314170165
17,"מתנ""ס נווה זאב",3.388696690828537
17,מתנס נווה נוי,4.806307148679979
18,"מתנ""ס לוין",1.9255970158489992
18,"מתנ""ס נירים",1.7258064422159693
18,"מתנ""ס נעורים",2.4213821059314022
18,"מתנ""ס פאני קפלן",2.5143646657335377
18,"מתנ""ס טאובל",3.499999239654204
18,"מתנ""ס - י'א",1.2290835253797003
18,מרכז הצעירים,3.79255814489253
18,"מתנ""ס רמות",2.84841239492812
18,"מתנ""ס נווה זאב",3.2837797575143726
18,מתנס נווה נוי,4.6920656075655245
19,"מתנ""ס לוין",2.074644231546207
19,"מתנ""ס נירים",1.8624952359316898
19,"מתנ""ס נעורים",2.5685408642685736
19,"מתנ""ס פאני קפלן",2.6505616558474046
19,"מתנ""ס טאובל",3.651878664827788
19,"מתנ""ס - י'א",1.2543243970487237
19,מרכז הצעירים,3.9232080276624006
19,"מתנ""ס רמות",2.9322513338480958
