Entrances,Not_reside,Used,floors,appartment,Name,Shape_Leng,Shape_Area
1,0,מגורים,2,4,,0.00082352182,0.00000001773
1,0,מגורים,2,4,,0.00084840890,0.00000002204
1,0,מגורים,2,4,,0.00069427624,0.00000001881
1,0,מגורים,2,4,,0.00085001074,0.00000002206
1,0,מגורים,2,4,,0.00079546109,0.00000002012
1,0,מגורים,2,4,,0.00053878889,0.00000001286
1,0,מגורים,2,4,,0.00081902440,0.00000002332
1,0,מגורים,2,4,,0.00070171291,0.00000001908
1,0,מגורים,2,4,,0.00082445974,0.00000002057
1,1,מקלט,2,0,,0.00015757689,0.00000000146
1,0,מגורים,2,4,,0.00084285723,0.00000002691
1,0,מגורים,2,4,,0.00092723055,0.00000002261
1,0,מגורים,2,4,,0.00083898836,0.00000002057
1,0,מגורים,2,4,,0.00073800917,0.00000002023
1,0,מגורים,2,4,,0.00057821948,0.00000001329
1,0,מגורים,2,8,,0.00049082995,0.00000001447
1,0,מגורים,2,8,,0.00049771087,0.00000001481
1,0,מגורים,2,8,,0.00051137355,0.00000001549
1,0,מגורים,2,8,,0.00047453193,0.00000001367
1,0,מגורים - חזית ציבורי/ מסחר,2,8,,0.00046832565,0.00000001338
1,0,מגורים - חזית ציבורי/ מסחר,2,8,,0.00049793584,0.00000001411
1,0,מגורים - חזית ציבורי/ מסחר,2,8,,0.00048351934,0.00000001327
1,1,מגורים - חזית ציבורי/ מסחר,2,8,,0.00047951068,0.00000001393
2,5,מגורים - חזית ציבורי/ מסחר,2,8,,0.00057066619,0.00000001845
2,1,מגורים - חזית ציבורי/ מסחר,2,8,,0.00055584491,0.00000001684
1,0,מגורים - חזית ציבורי/ מסחר,2,8,,0.00040157088,0.00000001006
1,0,מגורים - חזית ציבורי/ מסחר,2,8,,0.00039934915,0.00000000995
2,2,מגורים - חזית ציבורי/ מסחר,2,8,,0.00060273484,0.00000002013
1,1,מקלט,2,0,,0.00016293927,0.00000000148
1,1,מקלט,2,0,,0.00008195089,0.00000000040
1,1,מקלט,2,0,,0.00007592368,0.00000000035
1,1,מקלט,2,0,,0.00008188719,0.00000000041
1,1,מקלט,2,0,,0.00008524210,0.00000000044
1,0,מגורים,2,4,,0.00085753537,0.00000001985
1,0,מגורים,2,4,,0.00069720374,0.00000001831
1,1,אוניברסיטה,2,0,,0.00031359994,0.00000000445
1,0,מגורים,2,8,,0.00042088073,0.00000001096
1,0,מגורים,2,8,,0.00044307427,0.00000001220
1,1,אוניברסיטה,2,0,,0.00039923000,0.00000000726
3,0,מגורים,2,3,,0.00071306354,0.00000001790
1,0,מגורים,2,8,,0.00049050174,0.00000001354
1,0,מגורים,2,8,,0.00048920696,0.00000001352
3,0,מגורים,2,3,,0.00078315081,0.00000002977
1,0,מגורים,2,8,,0.00058504002,0.00000002009
2,0,מגורים,2,4,,0.00094391268,0.00000002226
1,0,מגורים,2,8,,0.00048273242,0.00000001440
1,0,מגורים,2,4,,0.00085621160,0.00000002301
1,0,מגורים,2,4,,0.00089685198,0.00000002218
1,0,מגורים,2,4,,0.00096806797,0.00000002437
0,0,תחבורה,2,0,,0.00010407936,0.00000000054
3,0,מגורים,2,4,,0.00092064029,0.00000002509
1,0,מגורים,2,8,,0.00079278063,0.00000002510
1,0,מגורים,2,8,,0.00080093541,0.00000002515
1,0,מגורים,2,8,,0.00079054324,0.00000002547
3,0,מגורים,2,4,,0.00065039036,0.00000002450
2,0,מגורים,2,2,,0.00062289449,0.00000001611
3,0,מגורים,2,4,,0.00068854087,0.00000001817
1,0,מגורים,2,1,,0.00083233858,0.00000002492
3,0,מגורים,2,18,,0.00012041065,0.00000000077
3,0,מגורים,2,18,,0.00131000787,0.00000004515
1,0,מגורים,2,8,,0.00081088538,0.00000002597
1,0,מגורים,2,8,,0.00096244368,0.00000003104
1,0,מגורים,2,8,,0.00088877565,0.00000002789
1,0,רפואה,2,0,קופ''ח א',0.00118508340,0.00000004566
1,0,מגורים,2,28,,0.00080252940,0.00000002707
1,0,בית כנסת,2,0,,0.00078762878,0.00000003485
1,0,רפואה,2,0,,0.00103986878,0.00000004877
0,0,תחבורה,2,0,,0.00012297991,0.00000000082
6,0,מגורים,2,48,,0.00323649757,0.00000013606
1,0,מגורים,2,6,,0.00089731852,0.00000003001
3,0,מגורים,2,18,,0.00144826033,0.00000005880
3,0,מגורים,2,18,,0.00146872489,0.00000005130
3,0,מגורים,2,18,,0.00120076612,0.00000004220
3,0,מגורים,2,4,,0.00046716417,0.00000001223
3,0,מגורים,2,5,,0.00083525027,0.00000002267
3,0,מגורים,2,4,,0.00098355631,0.00000002575
3,0,מגורים,2,4,,0.00101812713,0.00000002787
3,0,מגורים,2,4,,0.00093741504,0.00000002694
3,0,מגורים,2,4,,0.00062311024,0.00000001474
1,0,מגורים,2,16,,0.00101188715,0.00000002933
1,0,מגורים,2,4,,0.00071240879,0.00000001941
1,0,מגורים,2,2,,0.00044446513,0.00000001035
1,0,מגורים,2,2,,0.00049617750,0.00000001258
1,0,מגורים,2,8,,0.00049000062,0.00000001343
1,0,מגורים,2,8,,0.00051042438,0.00000001389
1,0,מגורים,2,8,,0.00048933681,0.00000001330
1,0,מגורים,2,8,,0.00049272684,0.00000001351
1,0,מגורים,2,4,,0.00085660865,0.00000002245
1,0,מגורים,2,4,,0.00093608364,0.00000002614
1,0,מגורים,2,8,,0.00081181354,0.00000002566
2,0,מגורים,2,3,,0.00070803971,0.00000001776
1,0,מגורים,2,1,,0.00078696632,0.00000002159
1,0,מגורים,2,1,,0.00060934917,0.00000001491
1,0,מגורים,2,1,,0.00068242467,0.00000001702
2,0,מגורים,2,12,,0.00090408221,0.00000002455
2,0,מגורים,2,3,,0.00081814618,0.00000002153
1,1,גן ילדים,2,0,,0.00072417828,0.00000002094
3,0,מגורים,2,18,,0.00124370714,0.00000005552
2,0,מגורים,2,12,,0.00101520029,0.00000003461
1,1,בית ספר,2,0,,0.00107961747,0.00000003826
1,0,מגורים,2,8,,0.00060996890,0.00000001770
3,0,מגורים,2,4,,0.00064890813,0.00000001535
3,0,מגורים,2,4,,0.00080637242,0.00000002451
0,0,תחבורה,2,0,,0.00012762756,0.00000000092
3,0,מגורים,2,4,,0.00076615087,0.00000002085
1,0,מגורים,2,8,,0.00069010673,0.00000001832
1,0,מגורים,2,4,,0.00082842482,0.00000002273
2,0,מגורים,2,3,,0.00073435013,0.00000001854
3,0,מגורים,2,4,,0.00079702231,0.00000001948
1,1,בית כנסת,2,0,,0.00053643716,0.00000001651
3,0,מגורים,2,4,,0.00101415628,0.00000002992
1,0,מגורים,2,4,,0.00079034258,0.00000002177
3,0,מגורים,2,3,,0.00087995283,0.00000002668
3,0,מגורים,2,4,,0.00083129805,0.00000002073
3,0,מגורים,2,4,,0.00078038238,0.00000002266
1,1,מסחרי,2,0,,0.00057650062,0.00000001655
1,1,מסחרי,2,0,,0.00071387616,0.00000001976
1,1,מסחרי,2,0,,0.00070559682,0.00000002045
1,1,מקלט,2,0,,0.00027154954,0.00000000453
1,1,מקלט,2,0,,0.00031826621,0.00000000549
1,1,בית ספר,2,0,,0.00090717391,0.00000003187
1,1,בית ספר,2,0,בי''ס מוריה,0.00068007877,0.00000002866
1,1,בית ספר,2,0,בי''ס מוריה,0.00237717070,0.00000010267
6,6,מסחרי,2,0,מרכז מסחרי אליעזר קפלן,0.00182731154,0.00000008616
1,1,מקלט,2,0,,0.00033017987,0.00000000621
2,0,מגורים,2,3,,0.00086422907,0.00000002313
1,1,מקלט,2,0,,0.00030257940,0.00000000214
1,1,מקלט,2,0,,0.00031680878,0.00000000234
3,0,מגורים,2,4,,0.00080938429,0.00000002855
3,0,מגורים,2,3,,0.00057999162,0.00000001332
2,0,מגורים,2,3,,0.00071392130,0.00000001673
3,1,מגורים,2,4,,0.00091567679,0.00000002671
3,0,מגורים,2,4,,0.00116309579,0.00000003075
1,1,גן ילדים,2,0,,0.00066600490,0.00000003020
1,1,גן ילדים,2,0,,0.00043197044,0.00000000797
1,1,גן ילדים,2,0,,0.00041986073,0.00000000742
1,0,מגורים,2,1,,0.00042292483,0.00000001108
3,0,מגורים,2,4,,0.00090639098,0.00000002645
1,0,בית כנסת,2,0,,0.00049854832,0.00000001097
1,0,מגורים,2,1,,0.00046519461,0.00000001142
2,0,מגורים,2,4,,0.00079031505,0.00000002086
2,0,ישיבה,2,0,בית חב''ד המרכזי,0.00098623776,0.00000003688
3,0,מגורים,2,4,,0.00085449019,0.00000002527
3,0,מגורים,2,4,,0.00087360288,0.00000002474
3,0,מגורים,2,4,,0.00085952638,0.00000002359
3,0,מגורים,2,4,,0.00082428246,0.00000002781
3,0,מגורים,2,4,,0.00084259207,0.00000002087
3,0,מגורים,2,4,,0.00105559600,0.00000003116
3,0,מגורים,2,4,,0.00080288455,0.00000002304
2,0,מגורים,2,3,,0.00089292671,0.00000002178
2,0,מגורים,2,2,,0.00083542494,0.00000002212
1,0,מגורים,2,8,,0.00067068577,0.00000002228
1,0,מגורים,2,8,,0.00073056146,0.00000002395
1,0,מגורים,2,8,,0.00056731836,0.00000001910
1,0,מגורים,2,4,,0.00065607296,0.00000001604
2,0,מגורים,2,4,,0.00073356623,0.00000001829
3,0,מגורים,2,4,,0.00075595835,0.00000001808
3,0,מגורים,2,4,,0.00082087710,0.00000002037
1,0,בית כנסת,2,0,,0.00057524169,0.00000001716
2,0,מגורים,2,3,,0.00065598640,0.00000001551
1,0,מגורים,2,8,,0.00062556636,0.00000001611
1,1,מקלט,2,0,,0.00016417661,0.00000000152
1,1,מקלט,2,0,,0.00008512634,0.00000000041
1,1,מקלט,2,0,,0.00008101954,0.00000000039
1,1,מקלט,2,0,,0.00063704257,0.00000001028
1,0,תשתית,2,0,,0.00010312537,0.00000000057
1,0,מגורים,2,4,,0.00040966206,0.00000000709
1,0,מגורים,2,4,,0.00069410489,0.00000001763
1,0,מגורים,2,4,,0.00102393315,0.00000002889
1,0,מגורים,2,4,,0.00059890717,0.00000001233
1,0,מגורים,2,4,,0.00090287064,0.00000002841
1,0,מגורים,2,4,,0.00101784128,0.00000002753
1,0,מגורים,2,4,,0.00073853565,0.00000002263
1,0,מגורים,2,4,,0.00079665426,0.00000001989
1,0,מגורים,2,4,,0.00083221034,0.00000002276
1,0,מגורים,2,4,,0.00084147619,0.00000001923
1,0,מגורים,2,4,,0.00063436240,0.00000001670
1,0,מגורים,2,4,,0.00093267982,0.00000002523
