X,Y,Z,combined1,combined2,combined3,SpecialCom,Swing,slid,carrousel,spring,omega,roserose,other,shadowing,surface,Name,type
34.777666396,31.23559771,0,0,2,0,0,0,0,0,0,0,0,,אין,משטח חול,פארק הגשר,כיס
34.771961742,31.240644794,0,1,0,0,0,0,0,0,0,0,0,,אין,משטח גומי,דב רונאל 9,כיס
34.780087888,31.2405576690001,0,0,1,0,0,2,0,0,3,0,0,,אין,משטח גומי,י.ל פרץ,שכונתי
34.774100452,31.241327089,0,0,0,0,0,0,0,0,1,0,1,,אין,משטח חול,אביגדור המאירי,כיס
34.773281544,31.2356014120001,0,1,1,0,0,0,0,0,0,0,0,,אין,משטח חול,פיירברג 29,
34.7753895430001,31.238484161,0,1,0,0,0,0,0,0,0,0,1,"1
איקס עיגול",אין,משטח חול,שופמן גרשום,כיס
34.768330442,31.2365894700001,0,0,2,0,0,0,0,0,0,0,0,,אין,משטח חול,שדר' אימבר 2,כיס
34.775117854,31.2352517460001,0,1,0,0,0,2,0,0,0,0,0,,אין,משטח חול,פיירברג 21,
34.775063905,31.237435535,0,0,2,0,0,2,0,0,2,0,1,,אין,משטח חול,פיכמן - שופמן,שכונתי
34.7760609850001,31.2421900090001,0,1,0,0,0,0,0,0,1,0,0,,אין,משטח גומי,ג'ו אלון - אשבל,כיס
34.7807674650001,31.237893963,0,2,0,0,0,2,0,1,1,0,1,,אין,משטח גומי,קיפניס,שכונתי
34.7715948370001,31.2310125970001,0,0,2,0,0,0,0,0,0,0,0,,אין,משטח גומי,אנקור פינת בז,
34.76728824,31.227757416,0,0,0,0,0,4,0,0,0,0,0,"2
סקייט החלקה 
משטח דריכה",אין,משטח גומי,חסידה 35,
34.7805868890001,31.2542233840001,0,0,0,0,0,3,0,0,0,0,0,,אין,משטח גומי,קפריסין,
34.7635156690001,31.2365395590001,0,0,0,1,0,0,0,1,1,0,0,,אין,משטח חול,אורות ישראל 60,כיס
34.7639622460001,31.2372408190001,0,0,0,0,0,0,0,0,0,0,0,"5
כפיפות
2*מתח
מקבילית 
טבעות",אין,משטח גומי,אורות ישראל 6,כיס
34.7641664280001,31.237827355,0,0,1,0,0,3,0,0,6,0,1,1-נדנדת סירה,אין,משטח חול,פארק מי מרום,שכונתי
34.7705916830001,31.2394845310001,0,1,0,1,0,2,0,0,1,0,1,"1
סביבון

*יש גם חלק עם חול!",אין,משטח גומי,"פארק אביסרור
דב רונאל 39",שכונתי
34.8052590400001,31.2859894870001,0,1,0,0,0,0,0,0,0,0,0,"3
3- פטריות",אין,משטח גומי,גדעון האוזנר,כיס
34.822627835,31.276036361,0,1,0,0,0,0,0,0,1,0,0,"2
גל רץ
הגה כח",אין,משטח גומי,אברהם אמיר 4,שכונתי
34.7668901100001,31.237108613,0,0,1,0,0,0,0,0,2,0,0,,יש,משטח גומי,גרוסמן - רוזנבלום,שכונתי
34.7781024780001,31.2391544550001,0,1,0,0,0,1,1,0,0,0,1,,,משטח גומי,חטיבה שמונה,שכונתי
34.7808088620001,31.2373927,0,1,0,0,0,0,0,0,0,0,0,,אין,משטח חול,מבצע אסף,כיס
34.765609483,31.235103388,0,0,1,0,0,0,0,0,3,0,0,,אין,משטח גומי,טל חרמון 6,כיס
34.764855593,31.2396796940001,0,0,1,0,0,2,0,0,3,0,0,,אין,משטח חול,בר ניסן,שכונתי
34.76735318,31.2400268280001,0,0,0,1,0,2,0,0,1,0,0,"2
* כדור פלסטיק עם צד פתוח cozy cocoon
* מתקן טיפוס אתגרי 
",אין,משטח גומי,טיומקין,כיס
34.794714146,31.2309112240001,0,0,0,1,0,0,0,0,0,0,0,1 קיר טיפוס + צינור טיפוס+ 3 פיטריות+4 חיות,יש,משטח גומי,אביבית -צבר,שכונתי
34.779543489,31.2295339410001,0,0,0,1,0,0,0,0,1,0,1,,אין,משטח חול,חצב צבעוני סתוונית,
34.7846560560001,31.231885543,0,0,2,1,0,0,0,0,0,0,0,,אין,דשא סינטטי,אורן 10,שכונתי
34.782068988,31.232248928,0,0,1,0,0,0,0,0,0,0,0,,אין,דשא סינטטי,אוכמנית 57,כיס
34.7814483180001,31.2326701740001,0,1,0,0,0,0,0,0,2,0,0,,אין,משטח גומי,כלנית,כיס
34.7892026310001,31.232730469,0,1,0,0,0,2,0,0,0,0,0,,אין,משטח חול,חרצית,כיס
34.777718903,31.231728059,0,0,1,0,0,2,0,0,0,0,1,,אין,משטח גומי,כלנית55,
34.784908038,31.2311290820001,0,0,0,1,0,0,0,0,0,0,0,,אין,משטח גומי,אורן -כרכום,כיס
34.764670773,31.2350084300001,0,0,0,0,0,0,0,0,0,0,0,,,,ארץ חמדה 44,כיס
34.7645667960001,31.2360518180001,0,0,1,0,0,0,0,0,1,0,1,,אין,משטח גומי,אורות ישראל,כיס
34.7915736740001,31.2312156140001,0,1,0,0,0,0,0,0,0,0,0,,אין,משטח חול,יסמין,כיס
34.810424529,31.2746742630001,0,0,0,0,0,3,0,0,3,0,0,"2
מתקן הליקופטר
סביבון",אין,משטח חול,הר בוקר עליון,שכונתי
34.8143883700001,31.2745870160001,0,1,0,0,0,0,0,0,0,0,0,,אין,משטח גומי,הר כנען,כיס
34.801930106,31.2736035610001,0,0,0,0,0,0,0,0,4,0,1,,אין,משטח גומי,יוסף בן דוד 23,שכונתי
34.802274212,31.273370782,0,0,1,0,0,0,0,0,1,0,0,,אין,משטח גומי,משעול טס,שכונתי
34.8006499890001,31.275112731,0,1,0,0,0,0,0,0,1,0,0,,אין,משטח חול,נחמן אביגד,כיס
34.8165595790001,31.2753037840001,0,1,0,0,0,0,0,0,1,0,0,,אין,משטח חול,יעקב חזן,כיס
34.8198746210001,31.2770537070001,0,0,1,0,0,0,0,0,3,0,0,,אין,משטח גומי,יוסף תקוע,שכונתי
34.8243244820001,31.275915624,0,1,0,0,0,0,0,0,0,0,0,,אין,משטח גומי,אברהם אמיר -פלדברג,כיס
34.810441457,31.274946352,0,1,0,0,0,0,0,0,6,0,0,"2 
מתקן פרמידה
מתקן טיפוס מתכת",אין,משטח חול,הר בוקר תחתון,שכונתי
34.813618584,31.2725730330001,0,1,0,0,0,0,0,0,2,0,0,"2
מתקן הליקופטר
מתקן הגה כוח",אין,משטח גומי,אליהו חכים,שכונתי
34.7756415810001,31.2481054150001,0,1,0,0,0,0,0,0,2,0,0,,אין,משטח גומי,אביגדור הכט,כיס
