X,Y,Z,Name,type,oldName
34.7948597380001,31.25299153,0,שמעוני,גן ילדים,
34.761730545,31.2692667320001,0,אביב,גן ילדים,
34.7743301420001,31.262831265,0,חמניה,גן ילדים,
34.783890231,31.2648122730001,0,נראה אור,גן ילדים,
34.7850698500001,31.268715538,0,בית יעקב,גן ילדים,
34.7959108810001,31.271644861,0,סברס,גן ילדים,צבר
34.808785008,31.257118749,0,חושן,גן ילדים,חנה סנש
34.8115481990001,31.2529143790001,0,אדיב,גן ילדים,נדיב
34.805599769,31.2707016580001,0,פרחי שושנה,גן ילדים,
34.805680828,31.270558255,0,גור אריה,גן ילדים,
34.807416183,31.27100513,0,תבור,גן ילדים,
34.7986046080001,31.270362161,0,דקל,גן ילדים,
34.791571472,31.2722718910001,0,גני חבד,גן ילדים,
34.7986361850001,31.2684860190001,0,חצב,גן ילדים,
34.8050372820001,31.255587516,0,בית אריאל,מרכז מדעים,
34.762513713,31.239395653,0,מורשת,גן ילדים,
34.778866727,31.2546266200001,0,אריאל,גן ילדים,
34.7550147260001,31.2570066550001,0,חווה חקלאית,חווה חקלאי,
34.7890019430001,31.2644609930001,0,מרכז מדעים,מרכז מדעים,
34.8014092670001,31.2590062260001,0,חבצלת,גן ילדים,
34.8016582990001,31.2586489,0,יסמין,גן ילדים,
34.771728597,31.257810062,0,צדק,גן ילדים,
34.7681460850001,31.2537613280001,0,החידא א,גן ילדים,
34.7679951040001,31.2537824200001,0,החידא ב,גן ילדים,
34.7847530380001,31.2727426120001,0,נורית - פסיכיאטרי,גן ילדים,
34.784754123,31.2724976640001,0,סביון - פסיכיאטרי,גן ילדים,
34.8089623010001,31.2546421600001,0,,גן ילדים,שלו
34.7669157180001,31.262997839,0,נופר,גן ילדים,
34.769618516,31.257631035,0,זוהר,גן ילדים,
34.7706565240001,31.2484035320001,0,מיחא,גן ילדים,
34.7971527880001,31.248498286,0,מצדיקי הרבים,גן ילדים,
34.7784400800001,31.245380024,0,שכם,גן ילדים,
34.7776104120001,31.2260090390001,0,זמיר,גן ילדים,דרור
34.764213823,31.2382720040001,0,טל,גן ילדים,
34.7844984750001,31.2352267800001,0,"אגו""י",גן ילדים,
34.7918064840001,31.2652990180001,0,תות,גן ילדים,
34.7700447780001,31.2637643840001,0,נווה במדבר,גן ילדים,
34.8049696740001,31.273892688,0,ניצני חומש,גן ילדים,
34.7679397040001,31.2542656110001,0,שביט,גן ילדים,
34.809958925,31.268678563,0,בן גוריון,גן ילדים,
34.7723230890001,31.2529870230001,0,גלבוע,גן ילדים,
34.759597473,31.26461368,0,היובל,גן ילדים,
34.7858314310001,31.2493961480001,0,מצדיקי הרבים,גן ילדים,
34.792614757,31.2470881510001,0,נריה,גן ילדים,
34.7705841160001,31.2451960020001,0,יובלים,גן ילדים,
34.77633489,31.252468805,0,עופרים,גן ילדים,
34.7762116530001,31.252565098,0,יעלים,גן ילדים,
34.7648800310001,31.257578236,0,ידיד,גן ילדים,
34.764987757,31.2542965960001,0,ענבל,גן ילדים,
34.7965531630001,31.265109614,0,באר מים חיים,גן ילדים,
34.7947562310001,31.26670011,0,גלית,גן ילדים,
34.7802834020001,31.265934192,0,אוצר החיים,גן ילדים,
34.8057184140001,31.2708040110001,0,אמרי יוסף,גן ילדים,
34.7922023450001,31.270514468,0,בית יעקב ד',גן ילדים,
34.7902654480001,31.242402332,0,קיבוץ גלויות,גן ילדים,
34.8009319220001,31.2663936230001,0,שלהבת,גן ילדים,
34.7857579080001,31.239823222,0,ניצני אור,גן ילדים,
34.799187111,31.2648722910001,0,עוז,גן ילדים,
34.767085034,31.2628836810001,0,פעמון,גן ילדים,
34.795029679,31.2627444350001,0,שובו,גן ילדים,
34.7716077320001,31.247847203,0,"תל""י אשל אברהם",גן ילדים,
34.7838707450001,31.2649039500001,0,תמר,גן ילדים,
34.7934840290001,31.272834607,0,שערי ציון,גן ילדים,
34.7772162740001,31.239534215,0,צעד קדימה,גן ילדים,
34.774309063,31.236834199,0,סיפן,גן ילדים,
34.7982933260001,31.284199943,0,מרווה,גן ילדים,הדס
34.7651747790001,31.231744936,0,צופית,גן ילדים,
34.778448117,31.245403369,0,יריחו,גן ילדים,שכם
34.7776041830001,31.226008961,0,דרור,גן ילדים,
34.797743198,31.281457061,0,נוי,גן ילדים,
34.766261747,31.259457678,0,מקיף רבין,על יסודי,
34.800193746,31.2531974980001,0,מקיף א,על יסודי,
34.763610613,31.2462231270001,0,נאות לון,בית ספר,
34.7672697620001,31.261076668,0,אפיק,בית ספר,
34.770409525,31.2449487330001,0,יובלים,בית ספר,
34.7693747270001,31.25641367,0,גבים,בית ספר,
34.774835721,31.254627644,0,אוריין,בית ספר,
34.7758676650001,31.247357661,0,מולדת,בית ספר,
