X,Y,Z,neighborho,street,HouseNumbe,Name,OtherName
34.776779102,31.2667193930001,0,ו,"ח""ן",2,,שערי ניסים
34.7767113520001,31.2663623400001,0,ו,"ח""ן",2,בית כנסת אוהל מועד,
34.7799976650001,31.26571069,0,ו,דורי,29,,בית אליהו
34.7837741920001,31.2664059950001,0,ו,מבצע ברוש,4,בית כנסת תפארת ישראל,תפארת ישראל
34.7840669550001,31.2662343420001,0,ו,מקלף,7,בית כנסת מגרשים,
34.7788857780001,31.2676264930001,0,ו,טולדנו,3,"בית כנסת, מרכז תורני בית יוסף",
34.781461483,31.2674926560001,0,ו,הרב פרנק,9,בית כנסת איש תם-שכ' ו',תפילת אבות
34.784269055,31.268156269,0,ו,דורי,2,,בית יונה בית אבות
34.768525761,31.253696162,0,יא,"החיד""א",55,בית כנסת שבט אחים,שבת אחים
34.760928376,31.2563584110001,0,יא,זלמן ארן,20,"בית כנסת עמותת רש""ל- בנוי",
34.7737043830001,31.259222117,0,יא,"הרא""ש",9,שמש,
34.770765786,31.258605072,0,יא,"רמ""א",133,בית כנסת  חסד ליעקב,חסד ליעקב
34.7729289270001,31.2591272120001,0,יא,"הרא""ש",8,,בית אבות
34.7693376550001,31.257357158,0,יא,"השל""ה",16,"בית כנסת חב""ד",
34.770340382,31.2552965020001,0,יא,עוזיאל,26,,בית אהרון
34.7643169340001,31.257798361,0,יא,יערי,52,,תהילה לדוד
34.769609605,31.262964481,0,יא,מויאל,4,ישיבה בארות יצחק,
34.7643115560001,31.259082253,0,יא,ציזלינג,1,"בית כנסת ""מרדכי היהודי""- שכ' יא'",
34.7709525700001,31.2603466570001,0,יא,חזני,2,,בית מרדכי
34.767285799,31.260456683,0,יא,הרצוג,38,בית כנסת אורח חיים,אורח חיים
34.7675611650001,31.259111868,0,יא,נמיר,3,ביכ מועצת הכהנים של יהודי אתיופיה,
34.7678228560001,31.2626189120001,0,יא,רוקח,30,,שבטי ישראל
34.7616618440001,31.2552464520001,0,יא,שיטרית,63,בית כנסת כסא מצליח,כסא מצליח
34.7648956350001,31.2546020930001,0,יא,פנקס,3,בית כנסת שבטי ישראל + מקווה,
34.820473264,31.2250173210001,0,עמק שרה,ירדן,37,,חוצות להב בתוך הסופר
34.8012141790001,31.2475952190001,0,מרכז אזרחי,סולד,4,,מלון לאונרדו
34.7997712710001,31.245412866,0,מרכז אזרחי,התקוה,4,,קרית הממשלה
34.801681312,31.2468879570001,0,מרכז אזרחי,קרויצר,4,,בית היאס אוניברסיטה
34.7806156720001,31.25785037,0,ב,מצדה,95,,"כנסת ישראל -בי""ס אמי''ת"
34.781597499,31.2574567460001,0,ב,בני אור,43,בית כנסת בית בנימין,בית בנימין
34.789823299,31.257160486,0,ב,סעדיה גאון,12,,נצח ישראל
34.7900850610001,31.2540270010001,0,ב,הוברמן,24,מקלט,
34.790489182,31.254135423,0,ב,הוברמן,24,בית כנסת ומקווה קול יהודה,
34.7902031310001,31.2542110790001,0,ב,הוברמן,24,בית כנסת תורה וחיים,תורה וחיים
34.789310764,31.2535384600001,0,ב,שטרוק,5,,אהל יעקב
34.785555635,31.258121009,0,ב,בני אור,19,"ביה""כ היכל קדושי ישראל",היכל קדושי ישראל
34.7882496180001,31.2580696,0,ב,בני אור,1,יסודות,יסודות מאיר
34.795901128,31.2575317810001,0,ב,אבן גבירול,11,,סיני
34.7934862320001,31.25618481,0,ב,אסף הרופא,9,בית כנסת בית אל,בית אל
34.791395838,31.2564875580001,0,ב,"רמח""ל",8,מקלט,
34.793907173,31.256567933,0,ב,דובנוב,9,מקלט,
34.7946166150001,31.2566218910001,0,ב,טשרנחובסקי,7,,ישראל הצעיר
34.7949314270001,31.257137357,0,ב,גרץ,7,,כולל בית יצחק
34.809606611,31.249324444,0,ג,ז'בוטינסקי,28,,צעירי חזון עובדיה
34.807178751,31.2477618300001,0,ג,ז'בוטינסקי,2,מקלט,
34.81000765,31.2524773420001,0,ג,חיבת ציון,14,בית כנסת אהבת ישראל,אהבת ישראל
34.8116528800001,31.2540603460001,0,ג,הנדיב,13,בית שמואל,בית שמואל
34.8114985230001,31.253123111,0,ג,חיבת ציון,38,בית כנסת שבת אחים,שבת אחים
34.81146289,31.252913957,0,ג,חיבת ציון,36,מקלט,
34.8108899170001,31.2546249650001,0,ג,קלישר,38,,בית יעקב
34.810808745,31.2543670260001,0,ג,קלישר,42,,אהל אברהם
34.8071438380001,31.2555573290001,0,ג,גוש עציון,33,,
34.8078153700001,31.255647433,0,ג,גוש עציון,22,מקלט,הגשר לגם
34.8068513640001,31.2552436500001,0,ג,וינגייט,31,,מגן דוד לעולי בבל
34.8095251010001,31.253666207,0,ג,השלום,83,מקלט - בית כנסת אהבת חסד,אהבת חסד
34.8077743800001,31.2534233740001,0,ג,גוש עציון,13,,חזון עובדיה בתוך בי''ס
34.8082668060001,31.2585100850001,0,ג,גוש עציון,44,,תורת משה
34.806643405,31.2563278210001,0,ג,וינגייט,34,בית כנסת,שער שמיים
34.802675424,31.252160158,0,ג,השלום,20,,
34.804101503,31.2515224650001,0,ג,הלפרין,4,,בית אל
34.805139436,31.250194783,0,ג,"הכ""ג",18,מקלט,
34.8048011650001,31.2505873320001,0,ג,בסקין,8,,
34.8032903770001,31.2504463340001,0,ג,"הכ""ג",4,"בית כנסת ""בית אל""",בית אל
34.802449547,31.2496791090001,0,ג,יד ושם,29,,רבי יהושע ללום
34.804145653,31.254547937,0,ג,וינגייט,41,,לזכר חללי צהל
34.8027645660001,31.254455401,0,ג,גולומב,20,,בית חי
34.8037286900001,31.254239156,0,ג,חומה ומגדל,13,,עץ חיים
34.807347339,31.2525348350001,0,ג,ארלוזורוב,3,,ויקהל משה
34.8032334820001,31.2554309490001,0,ג,גולומב,41,,
34.809872242,31.2591998830001,0,ג,"ניל""י",3,,
34.8105700720001,31.257839243,0,ג,רזיאל,4,"בית כנסת ""אור שלום""",אור שלום
34.8103547210001,31.2571584520001,0,ג,חנה סנש,12,בית כנסת זכור לאברהם,
34.7998797320001,31.258603018,0,ג,דוד בן גוריון,2,,בית חולים סורוקה
34.800833642,31.2550304860001,0,ג,וינגייט,65,,מקיף ב
34.758992176,31.266750345,0,נווה מנחם,לישנסקי,11,בית כנסת יקירי באר-שבע,
34.7644633370001,31.2681699780001,0,נווה מנחם,אסתר המלכה,1,מקלט,
34.7648728460001,31.269377084,0,נווה מנחם,נעמי,2,מקלט,רינת רחל
34.7674086120001,31.2708003160001,0,נווה מנחם,אנדה עמיר,15,בית כנסת חסידי רבי דוד ומשה,
34.7577812150001,31.265713315,0,נווה מנחם,ברוד,13,מקלט,אהבת חנה
34.7618868340001,31.2664312270001,0,נווה מנחם,אהרונסון,10,בית כנסת בית אל לעולי הודו,בית אל עולי הודו
34.7618868340001,31.2664312270001,0,נווה מנחם,אהרונסון,10,מקווה- פנוי,בית אל עולי הודו
34.7643799360001,31.2645033750001,0,נווה מנחם,אלרואי,1,מקלט,יוסף חיים
34.7591350770001,31.2607469020001,0,נווה מנחם,שיבא,4,בית כנסת  חוני המעגל - בנוי,חוני המעגל
34.7709577190001,31.269875347,0,נווה מנחם,אבידוב,9,מקלט,חסדי דוד ומשה הנאמני
34.767547478,31.271228369,0,נווה מנחם,רודנסקי,128,מקלט,
34.7884824710001,31.2702789680001,0,ד,סנהדרין,130,עמודים,שערי רחמים
34.7958097710001,31.2721723450001,0,ד,אבטליון,28,,
34.796104443,31.272084685,0,ד,אבטליון,28,,תקומת ישראל
34.794395814,31.2718464650001,0,ד,גבאי,14,,עולי בוכרה
