Name,SHAPE_Leng,SHAPE_Area
גן הראשונים,141.14854665200,1032.21312083000
פארק קפלן,124.35385947700,845.20681752400
פארק אופירה - שכ' ט,155.40505151600,1577.79359843000
פארק שומרון - נאות לון,159.00380834600,1072.99406091000
"חת""ם הסופר -שכ' יא'",128.05677763200,942.23879814800
פארק ה',167.93668385000,1763.44133273000
פארק ד',183.70400824100,1885.38728698000
מרגליות,174.98250792600,1013.59813696000
גן ארגנטינה,90.08967310590,496.31857327600
