"type","crs__type","crs__properties__name","features__type","features__properties__MainFeatur","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002"
"","","","Feature","חפירות בקרקע, קרוב לוודאי של פעילות צבאית בעבר","Point","3869091.646175193600357","3663630.145132954698056"
"","","","Feature","ריכוז אטדים","Point","3868836.544907958712429","3661771.785834601148963"
"","","","Feature","שרידי מבנה ישן","Point","3869886.970736973453313","3671193.875278858467937"
"","","","Feature","טרסות עם עצי שיטה סלילנית נטועים וצמחייה מגוונת","Point","3867692.124473891686648","3667895.850847484078258"
"","","","Feature","דרך עתיקה?","Point","3869420.717231547925621","3661415.302592819090933"
"","","","Feature","קדד באר שבע, זמזומית אייג?","Point","3877563.436318356078118","3666158.67576943570748"
"","","","Feature","משטח סלע גדול לצד ערוץ הנחל","Point","3869237.687167940661311","3661233.570793204009533"
"","","","Feature","לימן עם עצים- נקודת צל","Point","3872443.274758284445852","3673830.121723319869488"
"","","","Feature","שום הנגב","Point","3869896.417674501892179","3658278.651898865588009"
"","","","Feature","ריכוז עצי שיזף מצוי בערוץ הנכנס לעיר- 10 פרטים","Point","3868708.395075186621398","3668150.518044404219836"
"","","","Feature","ריכוז אירוס שחום- 20+ פרטים, 20 על 50 מטר","Point","3876178.713729273062199","3673233.653614073060453"
"","","","Feature","תצפית","Point","3874578.14751499472186","3670431.54165543243289"
"","","","Feature","ריכוז חריג בצפיפותו של עכובית הגלגל","Point","3874567.054851047694683","3662797.412092303857207"
"","","","Feature","עץ שיזף מצוי","Point","3868597.946575727779418","3668876.255158322397619"
"","","","Feature","קירות עפר ותלכיד נחלים בקטע זה של נחל באר שבע, וכמובן מחשוף הסלע בערוץ הנחל","Point","3877936.280607525724918","3664357.429834220558405"
"","","","Feature","הוקם בשנת 1943 במסגרת תוכנית שלושת המצפים יחד עם רביבים וגבולות. לאחר קרבות נחרב ב-1948 ומאז לא נושב. המיקום תוקן בשטח. המקום משופץ ונעול כחלק","Point","3875377.121926451101899","3663107.308485969435424"
"","","","Feature","ריכוז קדד באר שבע","Point","3874328.825909433886409","3671394.682822126429528"
"","","","Feature","ריכוז אשלים","Point","3875272.59254620410502","3663980.398473630659282"
"","","","Feature","עץ שיטה סלילנית","Point","3868867.988497767131776","3669467.724818835500628"
"","","","Feature","גשר ומעביר מים עם מעבר לבע""ח וקינון ציפורים","Point","3869899.167614174075425","3668416.737066747620702"
"","","","Feature","שרידי מבנה ישן","Point","3870047.600638514850289","3671390.949647760018706"
"","","","Feature","שיח אשל","Point","3871302.271582246758044","3658260.085528814699501"
