"type","crs__type","crs__properties__name","features__type","features__properties__MainFeatur","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002"
"","","","Feature","לימן עם עצים וצמחייה עונתית, אתר קינון ונקודת צל","Point","3872768.161017072852701","3670581.367847051937133"
"","","","Feature","ריכוז נוריות אסיה וצבעונים","Point","3876769.060502191074193","3674332.383009947836399"
"","","","Feature","ריכוז עירית גדולה","Point","3877476.273181500844657","3666235.506504317745566"
"","","","Feature","מספר צמחי סירה קוצנית (נדיר בבאר שבע)","Point","3877858.449501981027424","3664358.685091687832028"
"","","","Feature","ריכוז שום (כנראה שום קטוע)","Point","3873297.673496364615858","3664153.433095075190067"
"","","","Feature","מאגורה מדהימה,יש למעלה בטון בולט ומכסה מברזל.במאגורה יש מים צלולים מאד.צמוד לבדווים,יש חבל ודלי.","Point","3875618.160594987682998","3673360.728832120541483"
"","","","Feature","בור - לא נבדק בשטח בשל מאהלי בדווים","Point","3867629.390092385467142","3663225.61425144597888"
"","","","Feature","ריכוז כלניות - עשרות פרטים בשדה","Point","3876977.673152606934309","3664759.007867697626352"
"","","","Feature","מעט אירוס שחום","Point","3876203.33482512133196","3667398.053271893877536"
"","","","Feature","בית ארבעת המרחבים (משועתק), משולט","Point","3874167.748842504806817","3670388.08503592107445"
"","","","Feature","קדד נאה","Point","3875445.805713681969792","3671953.45222301594913"
"","","","Feature","מצוק מלאכותי ובו שכבות סלע, גובה כ- 3 מ'","Point","3877045.800676897168159","3664309.804184124805033"
"","","","Feature","ריכוז שום בלתי מזוהה","Point","3872067.036519570741802","3664351.729107578285038"
"","","","Feature","לימן עם שיטים סלילניות","Point","3872453.829804594628513","3673576.803092163521796"
"","","","Feature","ריכוז עצי שיזף מצוי- 20 פרטים","Point","3867606.201922176405787","3669142.155609608162194"
"","","","Feature","תעלות קשר ממלחמת העולם הראשונה","Point","3867786.011135496664792","3665363.63965507177636"
"","","","Feature","מחשוף סלע","Point","3871929.445596657227725","3661168.701032945420593"
"","","","Feature","שלהבית קיצרת-שיניים","Point","3870917.774007970001549","3670025.030001909006387"
"","","","Feature","עץ שיזף מצוי","Point","3869321.41114699607715","3668951.199209368787706"
"","","","Feature","סלעים גדולים","Point","3877870.121552095282823","3664367.223169332370162"
"","","","Feature","ריכוז שיזפים","Point","3868708.527389807626605","3668155.519328116904944"
"","","","Feature","מחצבה נטושה עם קינון ציפורים ומחילות בע""ח","Point","3871549.823038745671511","3669148.748066932894289"
"","","","Feature","מדרון אבני ששמר על אופי טבעי יחסית. ריכוז עכובית הגלגל ושבר לבן","Point","3875124.901405293960124","3663604.558847891632468"
"","","","Feature","עץ שיזף מצוי","Point","3871320.95246621593833","3669017.632502282503992"
"","","","Feature","קיר עפר עם תלכיד נחלים+ עץ שיזף סמוך","Point","3868165.685074508655816","3669454.908080424182117"
"","","","Feature","אירוס שחום","Point","3875996.837170435581356","3667159.07562439609319"
"","","","Feature","מחשוף סלע באורך כעשרה מטרים","Point","3874613.358560872729868","3663817.782162744086236"
"","","","Feature","ריכוז שיחי רותם גדולים- 10 פרטים+ עץ שיזף מצוי","Point","3872046.402496242430061","3669494.134342779871076"
"","","","Feature","שיזף מצוי","Point","3867811.256103744730353","3668905.829775532241911"
"","","","Feature","ריכוז אירוס שחום- 20+ פרטים, 10 על 20 מטר","Point","3876257.054785531945527","3667379.538847112096846"
"","","","Feature","שלהבית קיצרת-שיניים","Point","3869455.369853098411113","3673047.614558581728488"
"","","","Feature","שיטה סלילנית","Point","3867903.604361875448376","3667452.136445962823927"
"","","","Feature","חורשה מעורבת של אקליפטוסים, שיטת עלי ערבה ועוד..","Point","3870039.9715974945575","3669007.9229582301341"
"","","","Feature","ריכוז שום צנוע ושום ירקרק","Point","3870667.639102320652455","3668482.301717158872634"
"","","","Feature","מאגורה עתיקה","Point","3874294.582310935016721","3670562.19148137094453"
"","","","Feature","כתם פריחה של שום האבקנים והרבה שום הלענה","Point","3870367.633101569022983","3669853.866733801551163"
"","","","Feature","ריכוז זמזומיות","Point","3872677.957794934976846","3666535.541616795584559"
"","","","Feature","מחשוף סלע","Point","3875816.165564918424934","3660665.610533307306468"
"","","","Feature","ריכוז כלניות- אלפי פרטים, 100 על 50 מטר","Point","3873765.396366885863245","3671744.661085834726691"
"","","","Feature","מחצבה נטושה עם קינון ציפורים ומחילות בע""ח- 20 על 15 מטר","Point","3871375.049167205579579","3668893.522945206146687"
"","","","Feature","גינה קהילתית","Point","3872873.880118351429701","3667501.329478378407657"
"","","","Feature","שיח רכפתן מדברי","Point","3871421.768569921609014","3669898.705041105858982"
"","","","Feature","בתרונות לס","Point","3868954.988775021396577","3659209.042129914741963"
"","","","Feature","חרובים","Point","3875012.921286462806165","3665187.524492583237588"
"","","","Feature","חישת קנים","Point","3869896.720160917378962","3664961.24638899927959"
"","","","Feature","ריכוז סתוונית הנגב","Point","3867491.360066298861057","3661817.086708342656493"
"","","","Feature","מעגל אבנים סביב עמוד בטון","Point","3871284.095759061630815","3672263.136744434479624"
"","","","Feature","שום בלתי מזוהה ערבתי/ירקרק ומקבץ עדעד המדבר","Point","3870622.666060323826969","3670105.923111875075847"
"","","","Feature","זרימת מים הנחל","Point","3867382.19615594483912","3668143.07691294234246"
"","","","Feature","מחשוף קירטון לאורך הגדה הצפונית של הנחל","Point","3867528.184002821333706","3662735.760169408284128"
"","","","Feature","אנדרטה","Point","3873022.936945125460625","3670125.332248001825064"
"","","","Feature","ריכוז חצב מצוי","Point","3873347.321898561902344","3658370.269147017970681"
"","","","Feature","עץ שיזף מצוי וותיק","Point","3867987.824351876974106","3670152.252580194734037"
"","","","Feature","מחשוף קירטון ובתת סירה","Point","3876368.421646772418171","3671022.878722772467881"
"","","","Feature","שדרת עצי אשל הפרקים עתיקים","Point","3871915.944059077650309","3662575.872404624242336"
"","","","Feature","מצוק בגובה כ 4 מ' ובו כוך רדוד","Point","3872731.279892414808273","3668460.941434336826205"
"","","","Feature","ציפורן יהודה","Point","3874451.455716208089143","3670728.282246717717499"
"","","","Feature","מבנה חרב ובתוכו שקע, ייתכן שרידי באר","Point","3876602.749156767968088","3664346.260667574591935"
"","","","Feature","שיזף מצוי 5 מ'","Point","3867540.162515286821872","3666871.713913199491799"
"","","","Feature","קדד נאה ושמשון הדור","Point","3876090.456847308669239","3673640.858533379156142"
"","","","Feature","מאגורה - קינון יונים, ריכוז טבק השיח (פולש)","Point","3875209.681278303731233","3670570.10939185321331"
"","","","Feature","מצוק בגובה כ- 5 מ'","Point","3872292.792369123548269","3666044.211834936868399"
"","","","Feature","מצוקון קטן עם מחילות בעלי חיים- דרבנים, זוחלים ועוד..","Point","3871729.227949729189277","3670258.868692415766418"
"","","","Feature","שיזף מצוי","Point","3867772.21365793608129","3669123.643507581204176"
"","","","Feature","שלושה שיחי מלוח גדולים במרחק כמה מטרים אחד מהשני, בשולי הכביש. לא נדיר בב""ש, אך נקודת עניין כמעט יחידה במזרח עמק שרה","Point","3877543.56366298859939","3663341.309747872408479"
"","","","Feature","כלניות - עשרות פרטים, שלהבית קיצרת-שיניים","Point","3875865.702784574590623","3667722.861920895986259"
"","","","Feature","אתר פריחה - שמשונים, צבעונים, קדד ב""ש, שום מזרחי, נץ-חלב צרפתי","Point","3876728.651481094304472","3670600.93249362334609"
"","","","Feature","ריכוז עירית גדולה - אלפי פרטים","Point","3876505.01057364186272","3666930.78144520893693"
"","","","Feature","ריכוז גיאופיטים- כלניות- אלפי פרטים, 300 על 100 מטר","Point","3871219.694646442774683","3668987.845317939762026"
"","","","Feature","שבעה מגדלים פיסוליים בפארק הדסה","Point","3873442.166124136652797","3668392.562730770092458"
"","","","Feature","מעביר מים גדול - קן סנונית, קוץ דרבן","Point","3873509.291781191714108","3670110.612510463688523"
"","","","Feature","ריכוז גיאופיטים- כלניות- אלפי פרטים, 200 על 100 מטר","Point","3868968.136429216247052","3670231.000243281014264"
"","","","Feature","תצפית","Point","3872859.519954604096711","3669607.286278430838138"
"","","","Feature","אתר ארכיאולוגי","Point","3873899.241835567634553","3670487.346578502561897"
"","","","Feature","שלושה שיזפים, ינבוט המסקיטו","Point","3874837.221959418151528","3670597.154816530644894"
"","","","Feature","בור בעומק כשני מטרים במחשוף סלע","Point","3874069.832189811393619","3670752.133758062496781"
"","","","Feature","סתווניות הנגב","Point","3878226.121235421393067","3670784.09112322004512"
"","","","Feature","שטח חרוש ובו שום הנגב, מצולות ארוכות-עוקץ, ערטנית השדות, זמזומית ב""מ","Point","3869851.527913894038647","3664985.097792638000101"
"","","","Feature","שום, ייתכן שום הפטמות","Point","3878392.766558133997023","3672904.943168528843671"
"","","","Feature","קצה דרומי תעלות הגנה טורקיות","Point","3867467.366548952646554","3662768.964483299292624"
"","","","Feature","מצוקון עם מחילות בעלי יונקים, כנראה דרבנים","Point","3876493.560652843676507","3668129.632694037631154"
"","","","Feature","אתר ארכיאולוגי","Point","3874348.010731958318502","3670443.156442049425095"
"","","","Feature","עץ אשל","Point","3870929.796580705326051","3664154.47466148994863"
"","","","Feature","שמשון הדור וצבעונים","Point","3875879.283756799064577","3668108.501926330383867"
"","","","Feature","אגם בשלבי הקמה (בעבר בריכות חמצון שנהרסו לחלוטין בפיתוח הפארק)","Point","3876846.501511297188699","3663565.273773887194693"
"","","","Feature","ריכוז פריחה של שום, כנראה שום דרומי","Point","3875051.508354826364666","3670508.597688385285437"
"","","","Feature","תמר וחרוב צעירים - נטועים","Point","3866811.866945868823677","3664793.71508519584313"
"","","","Feature","מחצבה נטושה עם קינון ציפורים ומחילות בע""ח- 50 על 20 מטר","Point","3872261.401968524325639","3669308.263863306958228"
"","","","Feature","עצי שיטה סלילנית- 2 פרטים","Point","3871134.990142552182078","3668265.974655906669796"
"","","","Feature","אירוס שחום","Point","3874226.968593650963157","3671416.699614989571273"
"","","","Feature","זרימת עודפי נגר עירוני","Point","3874108.479325908236206","3664682.48416211316362"
"","","","Feature","מערות חפורות","Point","3876508.7955306568183","3674703.635825695004314"
"","","","Feature","תצפית","Point","3873520.646388192195445","3668692.911073643248528"
"","","","Feature","עץ שיטה סלילנית","Point","3868620.937398367095739","3668807.581247258931398"
"","","","Feature","ריכוז פריחה קטן של עדעד המדבר","Point","3874319.645029793027788","3670778.495865546166897"
"","","","Feature","ריכוז דליל של עירית גדולה","Point","3866877.342651779297739","3666837.819742548745126"
"","","","Feature","מקבץ סתוונית הנגב","Point","3872557.287460475694388","3658016.036507123149931"
"","","","Feature","שום קולמן (בודדים)","Point","3872273.645456908270717","3666081.97569582099095"
"","","","Feature","ארבע וושינגטוניות בגובה 8-7 מ'","Point","3872097.315405468456447","3664454.068423899821937"
"","","","Feature","בור סיד/כבשן עם ריכוז זוחלים","Point","3874347.712076524738222","3670636.040518115274608"
"","","","Feature","ריכוז מאורות","Point","3876402.559598324354738","3674249.203431350644678"
"","","","Feature","שיזף מצוי","Point","3868384.842088660690933","3668666.662857610732317"
"","","","Feature","חורשת אלות אטלנטיות","Point","3876039.417321066837758","3667415.424190801102668"
"","","","Feature","שיזף מצוי","Point","3872042.292287051677704","3671226.113952381070703"
"","","","Feature","עצי אשל הפרקים וותיקים","Point","3871461.502079201862216","3662581.5454165879637"
"","","","Feature","עץ שיזף מצוי","Point","3872299.903620733413845","3673867.943494002334774"
"","","","Feature","שיטה סלילנית","Point","3868143.244218041189015","3667258.003739613108337"
"","","","Feature","מחשוף קירטון, פחות מרשים מהמחשוף המערבי יותר","Point","3867911.311737014912069","3662828.676379182841629"
"","","","Feature","מעביר מים בשביל השחור מתחת לכביש- עם קינון של סנונית מדבר","Point","3873269.749955061357468","3671173.174926692154258"
"","","","Feature","ריכוז נץ-חלב דק-עלים","Point","3873204.276347231119871","3664351.729169957805425"
"","","","Feature","עץ שיטה סלילנית","Point","3869724.304644305258989","3668243.056752434931695"
"","","","Feature","ריכוז מצילות מצוייצות ומעט מצילות ארוכות-עוקץ","Point","3876245.524866884574294","3673497.137923325411975"
"","","","Feature","ריכוז עצי שיטה סלילנית על ערוץ הנחל- 20 פרטים","Point","3867378.613228466361761","3668184.878344279248267"
"","","","Feature","ערוץ חתור בבתרונות הלס לאורך מאות מטרים","Point","3869013.118457823526114","3662279.178159537725151"
"","","","Feature","שום דרומי?","Point","3874435.136286922730505","3671711.213811048306525"
"","","","Feature","בריכה עונתית","Point","3870690.125722516793758","3661247.192767631728202"
"","","","Feature","קדד נאה","Point","3876545.196933342609555","3674491.620276492554694"
"","","","Feature","בור סיד עם מחילות בע""ח","Point","3869112.129237145651132","3671009.632960530929267"
"","","","Feature","מחצבה נטושה עם קינון ציפורים- 50 על 30 מטר","Point","3871153.114204665180296","3669215.328633607830852"
"","","","Feature","ריכוז עדעד המדבר","Point","3871754.11737277219072","3671088.9271868490614"
"","","","Feature","דקל התמר","Point","3872086.27123520988971","3671241.946346704382449"
"","","","Feature","עץ שיזף מצוי","Point","3872090.789394123945385","3669675.843709737993777"
"","","","Feature","מעביר מים בערוץ","Point","3869114.6430450133048","3666211.565386040136218"
"","","","Feature","אירוס שחום","Point","3876125.967781722079962","3667052.285981222055852"
"","","","Feature","גבים עונתיים בתעלת מים","Point","3869145.901711317710578","3658987.793202487751842"
"","","","Feature","מחשוף סלע","Point","3869205.754487432539463","3670134.363778117112815"
"","","","Feature","שלולית בערוץ נחל לון. אותרו ראשנים במרץ 2013. סביר שהמקום משמש כמלכודת אקולוגית ולא מאפשר השלמת גלגול","Point","3868919.817905711941421","3665383.718146780505776"
"","","","Feature","תצפית 360 מעלות","Point","3867722.186776630580425","3667225.719881582539529"
"","","","Feature","אשל בערוץ ולידו פזורת אבני צור","Point","3869423.313366718124598","3661861.194790700916201"
"","","","Feature","מחשוף קירטוני יפה בגדה המערבית של ""נחל לון""","Point","3868633.600292684976012","3665275.758960391860455"
"","","","Feature","ארבעה שיזפים קטנים","Point","3876453.135674456134439","3667133.1595468246378"
"","","","Feature","אירוס שחום - גושים בודדים ב- 2014","Point","3873539.348086779471487","3672860.513426810503006"
"","","","Feature","חישת קנים","Point","3873612.373698293231428","3670027.895709245465696"
"","","","Feature","ריכוז קרדריה מצויה","Point","3877408.368260110262781","3664504.847713945433497"
"","","","Feature","בור מגודר בעומק 5 מ'","Point","3875788.335673821158707","3667869.901208231691271"
"","","","Feature","4 עצי שיטה סלילנית","Point","3872123.213550775777549","3672539.324389714747667"
"","","","Feature","ריכוז יפרוק תלת-כנפי","Point","3875864.032995137851685","3660676.544251516927034"
"","","","Feature","מחצבה נטושה עם קינון ציפורים ומחילות בע""ח","Point","3872144.886132954619825","3669202.844850879628211"
"","","","Feature","מחשוף סלע לבן עם מחילות בע""ח וקינון ציפורים","Point","3870402.473046672530472","3671071.705517469905317"
"","","","Feature","מחשוף סלע לבן עם קינון ציפורים- 50 על 20 מטר","Point","3870780.67958363192156","3670965.805352963507175"
"","","","Feature","חמד המדבר - פרטים בודדים","Point","3872641.66772084357217","3660279.68324434151873"
"","","","Feature","סומקן דוקרני - פרט בודד","Point","3866928.811661898158491","3664804.168255466967821"
"","","","Feature","מחשופי סלע","Point","3872010.040950253605843","3658270.583343824837357"
"","","","Feature","שיטה סלילנית","Point","3868018.309794613625854","3668620.285308495629579"
"","","","Feature","חרבת מטר","Point","3871033.303844669833779","3663235.149104695767164"
"","","","Feature","גשר. אתר של המועצה לשימור מבנים ואתרי התיישבות","Point","3874279.48884194297716","3663264.204956179484725"
"","","","Feature","מחצבה נטושה עם קינון ציפורים ומחילות בע""ח","Point","3872243.369648355524987","3669219.48991651693359"
"","","","Feature","מקבץ קטן של גלונית, ובשטח החרוש הסמוך מעט ערטנית השדות. לא נדירים בב""ש אבל כן בעמק שרה.","Point","3876005.333032515831292","3663291.982396339531988"
"","","","Feature","עץ שיזף מצוי","Point","3872088.015268528368324","3669799.294995014555752"
"","","","Feature","מחצבת גיר נטושה עם קינון ציפורים- 30 על 15 מטר","Point","3871032.437074976973236","3669152.909355484880507"
"","","","Feature","שרידי מוצב טורקי - לא נראה שיש לו זכר בשטח ולא נכלל בדפדפת גן לאומי תל באר שבע","Point","3878422.288651512470096","3664550.947661464568228"
"","","","Feature","פסגת גבעות גורל - נקודת גובה 473 מ'","Point","3876504.342729283496737","3674794.463508591987193"
"","","","Feature","עצי שיזף מצוי- 3 פרטים","Point","3868741.652017406653613","3670176.895963510964066"
"","","","Feature","ריכוז אירוס שחום- 20+ פרטים, 20 על 20 מטר","Point","3874192.725844673346728","3672035.831320679746568"
"","","","Feature","מחשוף סלע לבן עם מחילות בע""ח וקינון ציפורים","Point","3869921.845058460719883","3671048.818357010837644"
"","","","Feature","שיטה סלילנית","Point","3871368.428590392228216","3672245.955152745824307"
"","","","Feature","ריכוז גיאופיטים- כלניות- אלפי פרטים, 100 על 20 מטר","Point","3870022.661235491745174","3670538.488991990685463"
"","","","Feature","ריכוז עדעד המדבר","Point","3869067.905403973534703","3663673.729711822234094"
"","","","Feature","ריכוז שיכרון מרושת בערוץ","Point","3874814.989138744305819","3663060.923304306343198"
"","","","Feature","קיר חצוב עם תלכיד נחלים ומחילות בע""ח- 10 על 5 מטר","Point","3872038.079955087043345","3669313.812312552239746"
"","","","Feature","אירוס שחום","Point","3876045.929056080058217","3667158.945316232275218"
"","","","Feature","קבוצת אורנים יבשים","Point","3868107.576344302389771","3666652.029397436883301"
"","","","Feature","שיטה סלילנית","Point","3868257.89968845853582","3667619.885194872505963"
"","","","Feature","כוך באורך 1.5 מ', גובה 20 ס""מ ועומק לפחות מטר","Point","3875136.226210627239197","3670866.943223457317799"
"","","","Feature","חורשת עצים נטועים - אקליפטוסים, תמרים ועוד","Point","3877293.721154340077192","3662065.093243647366762"
"","","","Feature","שיחיית מתנן","Point","3870339.357987903058529","3658893.438147068023682"
"","","","Feature","עץ אורן בודד בערוץ","Point","3868400.106902070809156","3665352.33472905587405"
"","","","Feature","עץ שיזף מצוי","Point","3869851.692983226850629","3668403.300880265887827"
"","","","Feature","מחשופי סלע נמוכים","Point","3873354.557694555725902","3668560.709987228736281"
"","","","Feature","בור מים נטוש חצוב בסלע עם קשת אבן","Point","3871313.323490183334798","3669025.955057724379003"
"","","","Feature","חלקות בעל על מדרונות הבסיס הנטוש","Point","3872131.015208986587822","3669080.780555524397641"
"","","","Feature","ריכוז קורנית מקורקפת, כעשרה דונם","Point","3874131.901713867671788","3671416.048245059791952"
"","","","Feature","שום ערבתי - עשרות פרטים","Point","3870828.941106523852795","3668374.719158299732953"
"","","","Feature","עצי שיזף- 3 פרטים","Point","3869473.501274834852666","3669601.577302957419306"
"","","","Feature","מעט אירוס שחום","Point","3876187.08220202382654","3667509.925019612535834"
"","","","Feature","מחשוף סלע- מצוק עם קינון ציפורים","Point","3871132.474954968318343","3668309.221187101211399"
"","","","Feature","באר עמוקה בתל באר שבע. כנראה אתר קינון יונים","Point","3878492.396368401125073","3664553.262929766904563"
"","","","Feature","ריכוז שום אשרסון","Point","3876704.049841276369989","3674436.629715310409665"
"","","","Feature","קדד נאה וצמר מפוצל","Point","3877882.811934844125062","3671034.082152466289699"
"","","","Feature","ריכוז פשתנית ססגונית","Point","3876227.379794356878847","3664112.420109742786735"
"","","","Feature","אוכלוסיית יונקים","Point","3876788.563347490038723","3666776.405208324082196"
"","","","Feature","בור מים - קינון יונים","Point","3874225.494376924354583","3670802.347437357995659"
"","","","Feature","שיטה סלילנית","Point","3872391.013360569253564","3673430.60008119372651"
"","","","Feature","ריכוז גדול מאוד של שיחי מלוח קיפח לצד הערוץ","Point","3869014.572221891023219","3666943.635946429800242"
"","","","Feature","סתוונית הנגב וכן קדד לא מזוהה","Point","3869198.744716092478484","3662035.138208345510066"
"","","","Feature","עץ שיטה סלילנית וותיק","Point","3869442.4485226823017","3668879.471369042526931"
"","","","Feature","מערה רדודה ושום אשרסון","Point","3876460.148907689843327","3674694.904915218241513"
"","","","Feature","ריכוז כחלית ההרים - עשרות פרטים","Point","3869345.625716372858733","3665190.973711642436683"
"","","","Feature","מאגורה גדולה חצובה בסלע- 20 על 5 מטר","Point","3874366.522759363986552","3670683.514958154875785"
"","","","Feature","עצי ברוש ותיקים","Point","3870793.98676118766889","3664297.56519812811166"
"","","","Feature","באר לאה. באר יפה ומבוטנת בעומק של כ 25 מטר. מכוסה בסובך ברזל ולידה מבנה בטון שמקל על זיהויה. דיוק מיקום לפי הסיור בשטח.","Point","3869510.648531027138233","3661534.433041854761541"
"","","","Feature","ריכוז אירוס שחום- 50 פרטים","Point","3875977.610689076595008","3667155.956350152846426"
"","","","Feature","חפירה עגולה בגבעה, כנראה חלק משרידי מערך ההגנה הטורקי","Point","3868078.10245460877195","3665178.28826455026865"
"","","","Feature","צבעונים, נורית אסיה, שמשון הדור וצהרון מצוי","Point","3876679.670922406483442","3674130.016574639361352"
"","","","Feature","בור עמוק","Point","3877668.299257893115282","3664879.970168145839125"
"","","","Feature","עץ שיזף מצוי","Point","3870749.230869456194341","3668204.146641173865646"
"","","","Feature","עץ שיטה סלילנית וותיק","Point","3867464.813848659396172","3669298.44886402413249"
"","","","Feature","שדרת עצי אשל הפרקים וותיקים לאורך ערוץ הנחל- 100+ פרטים","Point","3867490.282886014319956","3667722.673187684733421"
"","","","Feature","ריכוז אכיליאה","Point","3876664.754103471059352","3664754.580854490399361"
"","","","Feature","בור מים סתום בערוץ הנחל","Point","3870935.012858676724136","3673155.122852645348758"
"","","","Feature","שיזף מצוי וותיק","Point","3869069.254370724316686","3669765.595113847404718"
"","","","Feature","בתרונות בערוץ עם חישה צפופה של אשלים ומלוח","Point","3871257.868973668199033","3662595.280188486911356"
"","","","Feature","מחשוף סלע- קירטון בערוץ עם גבי מים","Point","3869262.291836122982204","3668931.791310593951494"
"","","","Feature","רכפתן מדברי","Point","3872539.692095924634486","3670057.615044486243278"
"","","","Feature","עצי שיזף מצוי- 3 פרטים","Point","3869173.612930894829333","3668913.279244894627482"
"","","","Feature","קיר עפר בגובה כחמישה מטרים, מתאים לקינון","Point","3874322.684907468035817","3662937.343178922310472"
"","","","Feature","שיטה סלילנית","Point","3869524.232303564902395","3673450.25675775622949"
"","","","Feature","נקודת תצפית","Point","3873203.504830558784306","3659752.551739983726293"
"","","","Feature","עצי שיזף מצוי- 2 פרטים","Point","3872287.460552497301251","3670546.739396113436669"
"","","","Feature","קורנית מקורקפת - ריכוז","Point","3878617.186601205728948","3673036.148678720463067"
"","","","Feature","בתרון לס (לא משמעותי)","Point","3867786.695506156887859","3662726.127670756541193"
"","","","Feature","עץ שיזף מצוי וותיק","Point","3872273.571551097091287","3670225.916755270212889"
"","","","Feature","עצי אשל הפרקים וותיקים","Point","3868113.311477280221879","3668703.120849213562906"
"","","","Feature","ריכוז חמד המדבר","Point","3877184.170804331079125","3664330.766685179900378"
"","","","Feature","עץ שיטה סלילנית וותיק","Point","3868839.90913304220885","3668931.702521530911326"
"","","","Feature","מחשוף סלע","Point","3871690.034398942720145","3672047.212766120675951"
"","","","Feature","מצוק 5 מ' הנראה טבעי","Point","3871060.847499201539904","3662921.081195428967476"
"","","","Feature","חרוב - פרט בגודל 6-5 מ'","Point","3872954.252783578354865","3667336.322378158569336"
"","","","Feature","ריכוז אירוס שחום- 20+ פרטים, 20 על 20 מטר","Point","3871700.470864201895893","3673068.846587920561433"
"","","","Feature","משטחי סלע וגב","Point","3877897.951401215046644","3664397.603740761522204"
"","","","Feature","מחצבה נטושה עם קינון ציפורים ומחילות בע""ח- 30 על 15 מטר","Point","3871707.951551938895136","3669182.038428555708379"
"","","","Feature","ריכוז סתוונית הנגב וזמזומיות","Point","3876930.919027832336724","3664935.959665403701365"
"","","","Feature","מחפורת בעומק 1.5 מ', אורך 50 מטרים ורוחב 20 מטרים. נמצאה יבשה באפריל 2013","Point","3874242.203589436598122","3662965.901041967794299"
"","","","Feature","ריכוז פריחה - זמזומיות, נץ-חלב דק-עלים ועוד","Point","3872038.87260433845222","3664384.540142355021089"
"","","","Feature","גבעה עם בזנ""ט (נקודת טריג'? ) ותצפית היקפית. פעילות פרפרים","Point","3868958.3243298525922","3662959.730557762552053"
"","","","Feature","שיטה סלילנית קטנה","Point","3868861.369085307233036","3669467.390264450572431"
"","","","Feature","עצי שיזף מצוי- 4 פרטים+ עצי וושינגטוניה- 2 פרטים","Point","3869837.456011946313083","3668887.245675522368401"
"","","","Feature","שיטה סלילנית","Point","3869416.338509608060122","3673420.507561170496047"
"","","","Feature","שיזף ובור מים","Point","3871317.114166842773557","3669029.346375781111419"
"","","","Feature","עץ שקמה וותיק","Point","3873028.61175150424242","3668955.761253233067691"
"","","","Feature","אירוס שחום","Point","3874336.729619707912207","3671662.143723290413618"
"","","","Feature","שיזף מצוי","Point","3869573.989891013596207","3672398.759525835048407"
"","","","Feature","שיזף מרשים","Point","3868897.102661148644984","3668120.614525713492185"
"","","","Feature","טראסה הרוסה","Point","3872887.127149208914489","3659741.097199606243521"
"","","","Feature","ריכוז גיאופיטים- כלניות- אלפי פרטים, 200 על 20 מטר","Point","3872314.581354229710996","3670082.014156280085444"
"","","","Feature","ריכוז אשלים בולט, מפתיע במרחק מערוץ הנחל","Point","3869752.377879654057324","3661619.102015767246485"
"","","","Feature","קבוצת קנים","Point","3872687.085988537408412","3668434.631843746639788"
"","","","Feature","שלושה דקלי וושינגטוניה בולטים בנוף","Point","3867473.629404662642628","3667075.079074054956436"
"","","","Feature","ריכוז קדד בלתי מזוהה","Point","3867368.712247544899583","3663787.961158601101488"
"","","","Feature","מטוס פאנטום המשמש כאנדרטה - קינון יונים בתוך המטוס","Point","3869119.664452023338526","3665867.602123332675546"
"","","","Feature","אירוס שחום - כמה מקבצים","Point","3875930.602059913333505","3667354.815545587800443"
"","","","Feature","מחצבה נטושה עם קינון ציפורים ומחילות בע""ח","Point","3872135.176346887368709","3669326.296048175077885"
"","","","Feature","מחצבה נטושה עם קינון ציפורים ומחילות בע""ח- 30 על 20 מטר","Point","3871935.435019131749868","3669492.747317532077432"
"","","","Feature","אוכלוסיית יונקים","Point","3872006.471737408079207","3662407.551327600609511"
"","","","Feature","גדר חיה - עבקנה בגובה כ- 4 מ'. כמו כן פולשים - לנטנה, שיטת עלי ערבה ושיטה כחלחלה","Point","3870870.685854449402541","3664363.968177867121994"
"","","","Feature","ריכוז שום הלענה","Point","3870751.908036037813872","3670104.490133333951235"
"","","","Feature","ריכוז בולדרים- אתר מחיה לזוחלים, יונקים ועוד..- 50 על 20 מטר","Point","3872306.879944107029587","3668604.808419980108738"
"","","","Feature","ריכוז אטדים בראש המצוק","Point","3872730.389341374393553","3666541.401728715747595"
"","","","Feature","גל אבנים","Point","3868390.304952535778284","3662818.291709251236171"
"","","","Feature","רוץ עמוק יחסית, מבותר מאוד ובעל גדות תלולות ולא יציבות. מפתיע ביופיו בתקופת הפריחה","Point","3877607.032019015401602","3665818.582057543098927"
"","","","Feature","שני אשלים גדולים - גובהם כ- 10 מ'","Point","3870905.417616161517799","3664299.388012165203691"
"","","","Feature","אירוס שחום, זהביות, נוריות אסיה","Point","3874297.545119157526642","3671742.396220277994871"
"","","","Feature","בור מים ביזנטי. ייתכן שיפוץ מנדטורי","Point","3868644.184781852178276","3668141.322980142198503"
"","","","Feature","בתרונות לס קטנים. זוהה לקט בודד של צבעוני המדבר.","Point","3868286.458214998710901","3663338.82381238322705"
"","","","Feature","חישת שיחי מלוח קיפח נרחבת","Point","3871853.838963614776731","3662437.330206233542413"
"","","","Feature","חרוב קטן ואשחר רחב-עלים","Point","3873010.246494809165597","3667835.387852220330387"
"","","","Feature","כתם זמזומיות אייג","Point","3876349.497303960844874","3661874.624265654478222"
"","","","Feature","בור מים ביזנטי, חפירה ארכיאולוגית","Point","3868523.848360199481249","3668418.481486356351525"
