X,Y,Z,Id
34.769739955,31.2680601010001,0,1
34.7656877960001,31.264948206,0,2
34.76983003,31.26886182,0,3
34.7713796210001,31.269119875999998,0,4
34.767682397,31.269717789,0,5
34.7704792070001,31.270953289,0,6
34.7677389090001,31.267693372000103,0,7
34.769425872000106,31.269905168,0,8
34.772316846,31.2695807010001,0,9
34.770552482,31.269519407000104,0,10
34.7710452170001,31.26991436,0,11
34.7707180100001,31.268713256000098,0,12
34.7703059930001,31.270326413000102,0,13
34.7709808560001,31.2718110050001,0,14
34.7719091660001,31.27032798,0,15
34.771559489,31.2699913750001,0,16
34.7720305560001,31.271375269,0,17
34.772516622000104,31.270413201999997,0,18
34.771184686,31.271213666999998,0,19
34.770446299999996,31.2713886350001,0,20
34.76968207,31.2711582790001,0,21
34.7686588970001,31.2707870400001,0,22
34.7594531990001,31.270293264,0,23
34.768699012000106,31.271368602000102,0,24
34.7680219150001,31.270343077000103,0,25
34.763835817,31.269743987,0,26
34.7673415900001,31.271082811,0,27
34.7648386230001,31.2722482460001,0,28
34.7665967510001,31.2717220220001,0,29
34.764261903000005,31.272980343,0,30
34.7649376050001,31.272919273000102,0,31
34.7643207260001,31.271546245,0,32
34.763641148000005,31.272031852000104,0,33
34.76563072,31.268619782,0,34
34.765086131,31.270993100000005,0,35
34.766021652000106,31.2668896660001,0,36
34.7652644280001,31.266304762000104,0,37
34.7639617460001,31.265275854000002,0,38
34.759575522,31.2694352510001,0,39
34.765908,31.265509626999997,0,40
34.767096042,31.267588753000002,0,41
34.7666160790001,31.266939719,0,42
34.7667124910001,31.266041898,0,43
34.7659088190001,31.266336312000103,0,44
34.764983836999996,31.2657878800001,0,45
34.7652437990001,31.26720063,0,46
34.761727529,31.2673582,0,47
34.7643636340001,31.267503881,0,48
34.7647432380001,31.268020188,0,49
34.7642113480001,31.2685423630001,0,50
34.763582203000105,31.2684276250001,0,51
34.7627792690001,31.266786623,0,52
34.762721218,31.2674887700001,0,53
34.763098977,31.268033243,0,54
34.761259943,31.268250488000003,0,55
34.760834968000005,31.267834758000003,0,56
34.7671402880001,31.2703960490001,0,57
34.765547938000104,31.2698883260001,0,58
34.7649533310001,31.269120267000105,0,59
34.766109284,31.269232346,0,60
34.7669554460001,31.269044409000102,0,61
34.766671725,31.268379823000004,0,62
34.7674481820001,31.266654223000003,0,63
34.767577713,31.2689016090001,0,64
34.7680949200001,31.267053728000104,0,65
34.7656402100001,31.271658625,0,66
34.7620538370001,31.2701479900001,0,67
34.7640128940001,31.270313989,0,68
34.762873019000004,31.2695449940001,0,69
34.7586262200001,31.26981994,0,70
34.7610985310001,31.270119348,0,71
34.761381799999995,31.270762749,0,72
34.7631035380001,31.2713285990001,0,73
34.7632587840001,31.270867618000104,0,74
